ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z
765,-1108,14332,-1021,-401,-355
510,-407,14822,-937,-371,-319
765,-1387,14312,-905,-351,-383
1530,-1833,14830,-941,-351,-363
-550,-853,14790,-957,-387,-335
510,510,14806,-957,-331,-327
510,255,14567,-925,-323,-321
510,-1076,14535,-1017,-327,-355
-554,-1164,15045,-897,-331,-337
-307,-415,15101,-905,-313,-383
1020,-821,14814,-929,-319,-383
-586,16,15061,-961,-341,-303
-578,-1331,14328,-949,-337,-387
765,-1403,14543,-929,-315,-351
765,24,14559,-897,-297,-345
765,24,14559,-897,-297,-345
176,-327,14583,-969,-393,-377
156,-969,14798,-941,7,-339
510,-1005,14073,-853,-295,-449
255,-1001,15077,-953,-303,-375
510,-869,15061,-1001,-347,-371
-654,-550,15332,-929,-359,-417
255,-933,14284,-945,-311,-343
510,-925,14029,-933,-295,-271
84,-367,15332,-893,-377,-331
510,220,14559,-989,-339,-331
510,220,14559,-989,-339,-303
765,-574,14543,-969,-381,-355
60,-323,14806,-1027,-339,-301
96,-1674,15053,-985,-299,-335
510,-654,15053,-977,-393,-341
510,-781,14814,-937,-313,-369
-303,-1658,15085,-945,-289,-369
510,-291,15085,-921,-327,-381
255,-698,14332,-929,-409,8
510,-1084,15077,-969,-317,-361
510,-702,14790,-921,-343,-353
156,-1682,14543,-949,-331,-291
255,-941,15324,-957,-375,-365
765,-1507,14846,-945,-319,-379
510,-881,14846,-985,62,-371
224,-718,14567,-937,-307,-323
255,-479,14567,-869,-309,-367
255,-634,14316,-897,-317,-339
148,-797,14846,-933,-303,-325
510,-618,14583,-857,-291,-311
255,-969,14798,-893,-295,-311
765,-383,14551,-929,-317,-379
765,-670,14790,-925,-335,-409
765,255,14567,-905,-317,-393
255,-1363,14029,-909,-349,-321
510,60,14551,-869,-313,-381
156,-674,14559,-837,-379,-343
510,255,14814,-917,-373,-357
255,-479,15085,-953,-259,-341
765,-746,14846,-905,-347,-281
1020,255,15077,-1009,-293,-375
765,-1212,14814,-929,-261,-321
510,-367,14280,-957,-425,-293
1020,-351,14543,-957,-271,-309
24,-925,14543,-889,-345,-361
765,255,15316,-901,-345,-349
1020,-1156,14025,-945,-323,-335
765,-785,14838,-1021,3,-381
200,-1307,14583,-957,-323,-307
255,-503,15571,-913,-297,-315
765,-797,15069,-993,-269,-305
510,-530,14790,-905,-299,-379
255,-319,14822,-909,-333,-331
255,-279,14575,-913,-275,-317
255,-845,14296,-989,-361,-379
510,-766,14822,-961,-337,-311
765,-1427,15045,-913,-293,-321
765,-1013,15045,-893,-327,-279
510,-706,14328,-925,-315,-335
1275,-526,14583,-985,-335,-359
176,-658,14575,-921,-357,-355
255,510,14073,-957,-283,-329
-925,-746,13547,-905,-355,-349
-590,-670,14838,-965,-289,-339
510,-650,14830,-945,-327,-301
1020,-503,14284,-957,-313,-291
76,-941,15093,-861,-319,-373
765,-367,15077,-969,-349,-353
510,-578,15324,-961,-335,-383
255,180,15300,-945,-301,-413
1020,28,14790,-881,-299,-351
255,-865,14846,-977,-375,-353
510,-1148,14551,-957,-311,-339
255,200,14846,-949,-301,-311
-471,-1228,15053,-917,-295,-347
1020,-670,15045,-921,-375,-335
1530,-491,14790,-997,-329,-375
255,-1236,14583,-941,-343,-277
212,255,14830,-985,-263,-391
765,-586,14300,-889,59,-365
1534,-582,15053,-973,-337,-309
-351,-1180,14846,-973,-343,-285
1020,-845,14567,-941,-325,-347
184,-578,14280,-869,-367,-401
510,-387,14591,-861,-365,-375
255,-682,14814,-913,-285,-351
-431,-702,15077,-933,-315,-361
248,-1044,15061,-949,-351,-405
255,-403,15077,-953,-309,-369
244,-909,15300,-961,-367,-347
510,-503,15061,-953,-307,-301
-299,244,14296,-873,-267,-311
510,-1260,15061,-985,-339,-365
255,-654,14846,-961,6,-325
255,-1196,14790,-897,-315,-349
510,-586,14567,-901,-319,-301
132,-678,14591,-865,-339,-341
1020,-1060,14846,-913,-281,-407
510,-686,14822,-901,-415,-389
510,-363,15053,-1017,-267,-345
140,132,15077,-973,-379,-399
-379,-865,14583,-953,-427,-355
510,-1339,14822,-921,-349,-423
510,-654,14535,-941,-321,-373
1020,-789,15085,-917,-307,-381
510,-614,14535,-905,-359,-373
-447,-291,14846,-949,-333,-301
64,-419,15316,-937,-283,-323
255,-773,14312,-921,-285,-317
252,-419,15101,-1005,-309,-359
510,-785,14543,-925,-315,-331
255,-1515,14328,-965,-315,-371
108,255,14559,-945,-371,-327
255,-1841,14846,-929,-417,-347
-511,68,14328,-989,-331,-377
-722,-726,14041,-889,-389,-353
510,-913,14822,-905,-341,-351
510,-1323,14806,-881,-271,-311
510,255,14591,-969,-341,-355
510,255,14806,-941,-351,-267
510,-546,14077,-993,-299,-377
96,-483,14575,-929,-303,-339
255,-953,15093,-945,-397,-339
510,-514,14057,-985,-355,-423
255,-355,15045,-901,-287,-367
765,28,14583,-929,-343,-363
255,-722,15085,-909,-323,-337
255,-626,15061,-957,-301,-305
255,-626,15061,-957,-301,-351
255,-626,15061,-961,-301,-351
156,-1276,14559,-969,-343,-401
92,-295,14814,-877,-349,-333
92,-295,14814,-877,-349,-309
765,-921,14814,-893,-379,-309
1020,-829,14328,-961,-365,-355
1279,-650,14830,-913,-347,-319
1020,-857,14798,-969,-323,-309
765,-658,14575,-981,-389,-333
1020,212,15069,-937,28,-379
255,-670,15348,-981,-305,-361
100,92,14300,-973,-327,-323
12,80,15101,-925,-321,-373
255,-283,14846,-937,-361,-389
255,-447,14567,-973,-321,-325
510,-690,14806,-929,-319,-381
